idestacion,lat,lon,uso,luns,lune,lunt,mars,mare,mart,mies,miee,miet,jues,juee,juet,vies,viee,viet,sabs,sabt,sabe,doms,dome,domt,totals,totale,tipoestacion
14,19.368,-99.164,979,-0.24,0.57,2,-0.3,0.61,5,-0.22,0.64,2,-0.3,0.63,5,-0.18,0.61,2,-0.1,0.23,1,-0.14,0.18,1,-0.21,0.49,2
15,19.376,-99.178,1061,-0.39,0.7,5,-0.42,0.74,5,-0.33,0.72,5,-0.38,0.75,5,-0.26,0.71,5,-0.19,0.31,2,-0.27,0.25,4,-0.32,0.59,5
16,19.385,-99.184,982,-0.27,0.74,5,-0.28,0.76,5,-0.2,0.75,2,-0.22,0.76,2,-0.18,0.76,2,-0.12,0.51,2,-0.24,0.27,2,-0.21,0.64,2
17,19.372,-99.165,978,-0.24,0.7,2,-0.23,0.75,2,-0.27,0.74,5,-0.23,0.73,2,-0.15,0.72,2,-0.13,0.29,2,-0.21,0.17,1,-0.2,0.58,2
18,19.375,-99.164,1063,-0.4,0.55,5,-0.46,0.58,5,-0.42,0.59,5,-0.38,0.6,5,-0.23,0.58,2,-0.13,0.19,1,-0.18,0.14,1,-0.31,0.46,5
19,19.379,-99.163,984,-0.39,0.26,4,-0.39,0.3,4,-0.38,0.3,4,-0.4,0.29,4,-0.31,0.32,5,-0.18,0.15,1,-0.25,0.19,3,-0.32,0.25,4
20,19.382,-99.181,963,-0.54,0.57,5,-0.53,0.63,5,-0.53,0.64,5,-0.52,0.64,5,-0.51,0.48,4,-0.24,0.16,1,-0.29,0.23,3,-0.45,0.47,5
21,19.381,-99.187,1062,-0.49,0.61,5,-0.49,0.65,5,-0.5,0.65,5,-0.48,0.65,5,-0.46,0.52,5,-0.26,0.16,3,-0.32,0.24,3,-0.42,0.49,5
22,19.367,-99.171,978,-0.57,0.75,5,-0.56,0.78,5,-0.55,0.78,5,-0.55,0.76,5,-0.47,0.75,5,-0.4,0.3,4,-0.5,0.39,4,-0.51,0.64,5
23,19.37,-99.179,923,-0.32,0.49,5,-0.32,0.53,5,-0.3,0.56,5,-0.32,0.52,5,-0.21,0.45,2,-0.13,0.15,1,-0.17,0.13,1,-0.25,0.4,5
24,19.399,-99.183,1056,-0.3,0.69,5,-0.3,0.74,5,-0.36,0.73,5,-0.33,0.72,5,-0.21,0.72,2,-0.19,0.41,2,-0.3,0.3,6,-0.28,0.61,5
